French,English
partie,part
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
cause,cause
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
